Оператор,Количество,Операнд,Количество
push,3,-2079671268,2
mov,21,1073503224,2
sub,4,-350469331,2
movsd,48,1058682594,2
mulsd,9,1072693248,1
add,1,-2147483648,1
addsd,9,1073217536,1
movapd,10,12,3
pxor,8,0,12
cvtsi2sd,3,"""Arg? """,1
divsd,5,"""%lf""",1
comisd,3,"""X = %.8lf; Erf = %.12lf; Erfc = %.12lf\n""",1
ja,1,rbp,6
movq,17,rsp,6
xorpd,2,64,2
call,7,QWORD PTR [rbp-56],7
leave,3,xmm0,105
ret,3,QWORD PTR [rbp-32],12
cmp,2,QWORD PTR [rbp-8],13
jg,1,QWORD PTR [rbp-16],10
lea,1,DWORD PTR [rbp-20],6
jbe,2,1,3
jmp,3,QWORD PTR [rbp-40],5
ucomisd,2,xmm1,42
jp,1,xmm2,5
jne,2,QWORD PTR .LC0[rip],8
subsd,2,QWORD PTR .LC1[rip],1
,,.L2,1
,,QWORD PTR [rbp-64],2
,,QWORD PTR .LC2[rip],2
,,xmm4,3
,,rax,22
,,exp,2
,,QWORD PTR .LC3[rip],2
,,QWORD PTR [rbp-24],3
,,DWORD PTR [rbp-12],4
,,.L5,1
,,32,1
,,edi,3
,,OFFSET FLAT:.LC4,1
,,printf,2
,,[rbp-32],7
,,rsi,1
,,OFFSET FLAT:.LC5,1
,,__isoc99_scanf,1
,,.L21,1
,,.L10,1
,,.L11,2
,,.L13,2
,,QWORD PTR .LC7[rip],1
,,.L22,1
,,erf,1
,,erfc,1
,,OFFSET FLAT:.LC8,1
,,.L16,1
